"annee";"CP_clean";"age_class";"N_RPU";"N_HCL";"part_HCL"
2019;"01680";"(79,Inf]";"47";"0";0
2019;"01680";NA;"0";"0";NA
2019;"01700";"[0,1]";"305";"159";0.521311475409836
2019;"01700";"(1,4]";"240";"130";0.541666666666667
2019;"01700";"(4,17]";"833";"325";0.39015606242497
2019;"01700";"(17,64]";"2592";"615";0.237268518518519
2019;"01700";"(64,79]";"570";"171";0.3
2019;"01700";"(79,Inf]";"556";"240";0.431654676258993
2019;"01700";NA;"0";"0";NA
2019;"01710";"[0,1]";"Anonymisé";"1-4";0.0363636363636364
2019;"01710";"(1,4]";"59";"0";0
2019;"01710";"(4,17]";"112";"0";0
2019;"01710";"(17,64]";"Anonymisé";"1-4";0.00467289719626168
2019;"01710";"(64,79]";"94";"0";0
2019;"01710";"(79,Inf]";"31";"0";0
2019;"01710";NA;"0";"0";NA
2019;"01750";"[0,1]";"3";"0";0
2019;"01750";"(1,4]";"2";"0";0
2019;"01750";"(4,17]";"Anonymisé";"1-4";0.111111111111111
2019;"01750";"(17,64]";"Anonymisé";"1-4";0.0597014925373134
2019;"01750";"(64,79]";"6";"0";0
2019;"01750";"(79,Inf]";"4";"0";0
2019;"01750";NA;"0";"0";NA
2019;"01800";"[0,1]";"245";"62";0.253061224489796
2019;"01800";"(1,4]";"240";"40";0.166666666666667
2019;"01800";"(4,17]";"1026";"128";0.124756335282651
2019;"01800";"(17,64]";"3283";"214";0.0651842826682912
2019;"01800";"(64,79]";"675";"36";0.0533333333333333
2019;"01800";"(79,Inf]";"538";"13";0.0241635687732342
2019;"01800";NA;"0";"0";NA
2019;"01851";"[0,1]";"10";"0";0
2019;"01851";"(1,4]";"16";"0";0
2019;"01851";"(4,17]";"86";"0";0
2019;"01851";"(17,64]";"Anonymisé";"1-4";0.0107913669064748
2019;"01851";"(64,79]";"87";"0";0
2019;"01851";"(79,Inf]";"65";"0";0
2019;"01851";NA;"1";"0";0
2019;"01960";"[0,1]";"Anonymisé";"1-4";0.00763358778625954
2019;"01960";"(1,4]";"123";"5";0.040650406504065
2019;"01960";"(4,17]";"Anonymisé";"1-4";0.00199600798403194
2019;"01960";"(17,64]";"1564";"16";0.010230179028133
2019;"01960";"(64,79]";"Anonymisé";"1-4";0.00554016620498615
2019;"01960";"(79,Inf]";"379";"0";0
2019;"01960";NA;"0";"0";NA
2019;"01990";"[0,1]";"Anonymisé";"1-4";0.0140845070422535
2019;"01990";"(1,4]";"43";"0";0
2019;"01990";"(4,17]";"Anonymisé";"1-4";0.004739336492891
2019;"01990";"(17,64]";"568";"21";0.0369718309859155
2019;"01990";"(64,79]";"Anonymisé";"1-4";0.00970873786407767
2019;"01990";"(79,Inf]";"140";"0";0
2019;"01990";NA;"0";"0";NA
2019;"02000";"[0,1]";"1";"0";0
2019;"02000";"(1,4]";"2";"0";0
2019;"02000";"(4,17]";"5";"0";0
2019;"02000";"(17,64]";"21";"0";0
2019;"02000";"(64,79]";"Anonymisé";"1-4";0.5
2019;"02000";"(79,Inf]";"3";"0";0
2019;"02000";NA;"0";"0";NA
2019;"02100";"[0,1]";"0";"0";NA
2019;"02100";"(1,4]";"7";"0";0
2019;"02100";"(4,17]";"Anonymisé";"1-4";0.142857142857143
2019;"02100";"(17,64]";"Anonymisé";"1-4";0.0285714285714286
2019;"02100";"(64,79]";"11";"0";0
2019;"02100";"(79,Inf]";"1";"0";0
2019;"02100";NA;"0";"0";NA
2019;"02110";"[0,1]";"0";"0";NA
2019;"02110";"(1,4]";"0";"0";NA
2019;"02110";"(4,17]";"Anonymisé";"1-4";1
2019;"02110";"(17,64]";"3";"0";0
2019;"02110";"(64,79]";"0";"0";NA
2019;"02110";"(79,Inf]";"0";"0";NA
2019;"02110";NA;"0";"0";NA
2019;"02120";"[0,1]";"1";"0";0
2019;"02120";"(1,4]";"0";"0";NA
2019;"02120";"(4,17]";"3";"0";0
2019;"02120";"(17,64]";"5";"0";0
2019;"02120";"(64,79]";"1";"0";0
2019;"02120";"(79,Inf]";"2";"0";0
2019;"02120";NA;"0";"0";NA
2019;"02130";"[0,1]";"0";"0";NA
2019;"02130";"(1,4]";"0";"0";NA
2019;"02130";"(4,17]";"3";"0";0
2019;"02130";"(17,64]";"0";"0";NA
2019;"02130";"(64,79]";"0";"0";NA
2019;"02130";"(79,Inf]";"0";"0";NA
2019;"02130";NA;"0";"0";NA
2019;"02160";"[0,1]";"0";"0";NA
2019;"02160";"(1,4]";"0";"0";NA
2019;"02160";"(4,17]";"1";"0";0
2019;"02160";"(17,64]";"2";"0";0
2019;"02160";"(64,79]";"0";"0";NA
2019;"02160";"(79,Inf]";"0";"0";NA
2019;"02160";NA;"0";"0";NA
2019;"02170";"[0,1]";"0";"0";NA
2019;"02170";"(1,4]";"0";"0";NA
2019;"02170";"(4,17]";"1";"0";0
2019;"02170";"(17,64]";"4";"0";0
2019;"02170";"(64,79]";"1";"0";0
2019;"02170";"(79,Inf]";"0";"0";NA
2019;"02170";NA;"0";"0";NA
2019;"02200";"[0,1]";"0";"0";NA
2019;"02200";"(1,4]";"3";"0";0
2019;"02200";"(4,17]";"6";"0";0
2019;"02200";"(17,64]";"Anonymisé";"1-4";0.114285714285714
2019;"02200";"(64,79]";"3";"0";0
2019;"02200";"(79,Inf]";"4";"0";0
2019;"02200";NA;"0";"0";NA
2019;"02210";"[0,1]";"0";"0";NA
2019;"02210";"(1,4]";"0";"0";NA
2019;"02210";"(4,17]";"2";"0";0
2019;"02210";"(17,64]";"6";"0";0
2019;"02210";"(64,79]";"1";"0";0
2019;"02210";"(79,Inf]";"0";"0";NA
2019;"02210";NA;"0";"0";NA
2019;"02240";"[0,1]";"0";"0";NA
2019;"02240";"(1,4]";"0";"0";NA
2019;"02240";"(4,17]";"1";"0";0
2019;"02240";"(17,64]";"3";"0";0
2019;"02240";"(64,79]";"1";"0";0
2019;"02240";"(79,Inf]";"0";"0";NA
2019;"02240";NA;"0";"0";NA
2019;"02270";"[0,1]";"1";"0";0
2019;"02270";"(1,4]";"0";"0";NA
2019;"02270";"(4,17]";"2";"0";0
2019;"02270";"(17,64]";"3";"0";0
2019;"02270";"(64,79]";"2";"0";0
2019;"02270";"(79,Inf]";"0";"0";NA
2019;"02270";NA;"0";"0";NA
2019;"02290";"[0,1]";"0";"0";NA
2019;"02290";"(1,4]";"0";"0";NA
2019;"02290";"(4,17]";"4";"0";0
2019;"02290";"(17,64]";"Anonymisé";"1-4";0.142857142857143
2019;"02290";"(64,79]";"0";"0";NA
2019;"02290";"(79,Inf]";"1";"0";0
2019;"02290";NA;"0";"0";NA
2019;"02300";"[0,1]";"0";"0";NA
2019;"02300";"(1,4]";"1";"0";0
2019;"02300";"(4,17]";"2";"0";0
2019;"02300";"(17,64]";"12";"0";0
2019;"02300";"(64,79]";"2";"0";0
