RegCode;DepCode;age_group;Year;n;n_HCL;Pop;p_HCL;catchment_HCL
84;73;5-17;2021;7177;5;68788,36982646972;0,000696669917792950;47,9227879521177
84;73;5-17;2022;16279;26;68807,58795682329;0,001597149702070152;109,8960186054061
84;73;5-17;2023;10574;5;68832,74330447025;0,000472857953470777;32,5481101307312
84;73;5-17;2024;15099;25;69071,35053756287;0,001655738790648387;114,3641144075152
84;73;18-64;2019;18539;96;254865,98163597554;0,005178272830249744;1319,7655880605023
84;73;18-64;2020;18849;56;256466,34347928301;0,002970979892832511;761,9563496652262
84;73;18-64;2021;42017;63;257427,63017353028;0,001499393102791727;385,9852131502108
84;73;18-64;2022;44829;93;258311,41204317671;0,002074549956501372;535,8799286179801
84;73;18-64;2023;45904;125;259429,25669552974;0,002723074241896131;706,4451265018564
84;73;18-64;2024;51493;135;260411,64946243711;0,002621715572990504;682,7252767838155
84;73;65-79;2019;6153;0;63163,00000000000;0,000000000000000000;0,0000000000000
84;73;65-79;2020;4934;0;64742,00000000000;0,000000000000000000;0,0000000000000
84;73;65-79;2021;10225;0;66683,00000000000;0,000000000000000000;0,0000000000000
84;73;65-79;2022;14318;6;68759,00000000000;0,000419052940354798;28,8136611258556
84;73;65-79;2023;11913;6;70320,00000000000;0,000503651473180559;35,4167715940569
84;73;65-79;2024;10239;0;72000,00000000000;0,000000000000000000;0,0000000000000
84;73;80+;2019;6848;0;27360,00000000000;0,000000000000000000;0,0000000000000
84;73;80+;2020;4484;0;27140,00000000000;0,000000000000000000;0,0000000000000
84;73;80+;2021;8016;0;27194,00000000000;0,000000000000000000;0,0000000000000
84;73;80+;2022;8436;0;27346,00000000000;0,000000000000000000;0,0000000000000
84;73;80+;2023;9219;0;27598,00000000000;0,000000000000000000;0,0000000000000
84;73;80+;2024;11917;0;27912,00000000000;0,000000000000000000;0,0000000000000
84;73;NA;2019;0;0;NA;NA;NA
84;73;NA;2020;0;0;NA;NA;NA
84;73;NA;2021;0;0;NA;NA;NA
84;73;NA;2022;0;0;NA;NA;NA
84;73;NA;2023;3;0;NA;0,000000000000000000;NA
84;73;NA;2024;3;0;NA;0,000000000000000000;NA
84;74;0-1;2019;12365;14;18969,32468947422;0,001132228063081278;21,4776017511233
84;74;0-1;2020;6526;9;19399,97003330266;0,001379098988660742;26,7544790529764
84;74;0-1;2021;10306;37;19168,92024471167;0,003590141665049486;68,8191392445500
84;74;0-1;2022;7665;26;19396,80800697163;0,003392041748206132;65,7947825415867
84;74;0-1;2023;8580;32;19226,86946454328;0,003729603729603730;71,7086040635647
84;74;0-1;2024;6067;33;18227,29659062963;0,005439261579034119;99,1430340350713
84;74;2-4;2019;10034;0;30454,67531052578;0,000000000000000000;0,0000000000000
84;74;2-4;2020;4885;0;30812,02996669734;0,000000000000000000;0,0000000000000
84;74;2-4;2021;6947;7;30348,07975528833;0,001007629192457176;30,5796110964471
84;74;2-4;2022;10677;30;30542,19199302837;0,002809778027535825;85,8167799747917
84;74;2-4;2023;6227;11;30190,13053545672;0,001766500722659387;53,3308874080655
84;74;2-4;2024;6382;13;29833,70340937037;0,002036979003447195;60,7706274399584
84;74;5-17;2019;20185;7;137117,85062719174;0,000346792172405251;47,5513972945426
84;74;5-17;2020;15122;19;137052,51691666109;0,001256447559846581;172,1993004507711
84;74;5-17;2021;13077;19;136817,13796197728;0,001452932629808060;198,7860840619078
84;74;5-17;2022;13734;22;137084,10191402919;0,001601863987185088;219,5900860716937
84;74;5-17;2023;13329;29;137805,78481441821;0,002175707104809063;299,8250251045186
84;74;5-17;2024;14000;38;139284,71280209039;0,002714285714285714;378,0585061771025
84;74;18-64;2019;91025;154;498377,14937280829;0,001691842900302115;843,1758418391922
84;74;18-64;2020;97931;157;503519,48308333894;0,001603169578580838;807,2271175019577
84;74;18-64;2021;102800;199;508597,86203802272;0,001935797665369650;984,5425539451996
84;74;18-64;2022;101271;249;513440,89808597078;0,002458749296442219;1262,4224469335420
84;74;18-64;2023;84937;257;517859,21518558176;0,003025772042808199;1566,9239354191286
84;74;18-64;2024;92923;270;521520,28719790961;0,002905631544396974;1515,3457975252154
84;74;65-79;2019;15130;5;101693,00000000000;0,000330469266358229;33,6064111037673
84;74;65-79;2020;17329;6;103824,00000000000;0,000346240406255410;35,9480639390617
84;74;65-79;2021;13339;0;106121,00000000000;0,000000000000000000;0,0000000000000
84;74;65-79;2022;13284;5;108494,00000000000;0,000376392652815417;40,8363444745559
84;74;65-79;2023;11640;0;110168,00000000000;0,000000000000000000;0,0000000000000
84;74;65-79;2024;12065;5;112219,00000000000;0,000414421881475342;46,5060091172814
84;74;80+;2019;12914;0;39482,00000000000;0,000000000000000000;0,0000000000000
84;74;80+;2020;14853;0;40598,00000000000;0,000000000000000000;0,0000000000000
84;74;80+;2021;15584;0;40429,00000000000;0,000000000000000000;0,0000000000000
